,Fecha,Indicador,Territorio,Valor
105,2020-04-10T00:00:00,Fallecidos,Artigas,0
106,2020-04-10T00:00:00,Fallecidos,Canelones,0
107,2020-04-10T00:00:00,Fallecidos,Cerro Largo,0
108,2020-04-10T00:00:00,Fallecidos,Colonia,0
109,2020-04-10T00:00:00,Fallecidos,Durazno,0
110,2020-04-10T00:00:00,Fallecidos,Flores,0
111,2020-04-10T00:00:00,Fallecidos,Florida,0
112,2020-04-10T00:00:00,Fallecidos,Lavalleja,0
113,2020-04-10T00:00:00,Fallecidos,Maldonado,1
114,2020-04-10T00:00:00,Fallecidos,Montevideo,6
115,2020-04-10T00:00:00,Fallecidos,Paysandú,0
116,2020-04-10T00:00:00,Fallecidos,Río Negro,0
117,2020-04-10T00:00:00,Fallecidos,Rivera,0
118,2020-04-10T00:00:00,Fallecidos,Rocha,0
119,2020-04-10T00:00:00,Fallecidos,Salto,0
120,2020-04-10T00:00:00,Fallecidos,San José,0
121,2020-04-10T00:00:00,Fallecidos,Soriano,0
122,2020-04-10T00:00:00,Fallecidos,Tacuarembó,0
123,2020-04-10T00:00:00,Fallecidos,Treinta y Tres,0
124,2020-04-10T00:00:00,Personal de la salud  Confirmados,Todo el país,66
125,2020-04-10T00:00:00,Personal de la salud  Recuperados,Todo el país,0
126,2020-04-10T00:00:00,Personal de la salud  Activos,Todo el país,0
127,2020-04-10T00:00:00,Personal de la salud  Fallecidos,Todo el país,0
128,2020-04-10T00:00:00,Cantidad de Tests  Positivos,Todo el país,21
129,2020-04-10T00:00:00,Cantidad de Tests  Negativos,Todo el país,619
130,2020-04-10T00:00:00,Personas en CTI,Todo el país,15
131,2020-04-10T00:00:00,Personas en CI,Todo el país,0
132,2020-04-10T00:00:00,Fallecidos,Todo el país,7
133,2020-04-10T00:00:00,Casos nuevos,Todo el país,26
134,2020-04-11T00:00:00,Casos activos,Artigas,0
135,2020-04-11T00:00:00,Casos activos,Canelones,34
136,2020-04-11T00:00:00,Casos activos,Cerro Largo,0
137,2020-04-11T00:00:00,Casos activos,Colonia,5
138,2020-04-11T00:00:00,Casos activos,Durazno,0
139,2020-04-11T00:00:00,Casos activos,Flores,0
140,2020-04-11T00:00:00,Casos activos,Florida,0
141,2020-04-11T00:00:00,Casos activos,Lavalleja,4
142,2020-04-11T00:00:00,Casos activos,Maldonado,13
143,2020-04-11T00:00:00,Casos activos,Montevideo,167
144,2020-04-11T00:00:00,Casos activos,Paysandú,1
145,2020-04-11T00:00:00,Casos activos,Río Negro,6
146,2020-04-11T00:00:00,Casos activos,Rivera,1
147,2020-04-11T00:00:00,Casos activos,Rocha,0
148,2020-04-11T00:00:00,Casos activos,Salto,8
149,2020-04-11T00:00:00,Casos activos,San José,2
150,2020-04-11T00:00:00,Casos activos,Soriano,0
151,2020-04-11T00:00:00,Casos activos,Tacuarembó,0
152,2020-04-11T00:00:00,Casos activos,Treinta y Tres,0
153,2020-04-11T00:00:00,Casos recuperados,Artigas,0
154,2020-04-11T00:00:00,Casos recuperados,Canelones,43
155,2020-04-11T00:00:00,Casos recuperados,Cerro Largo,0
156,2020-04-11T00:00:00,Casos recuperados,Colonia,3
157,2020-04-11T00:00:00,Casos recuperados,Durazno,0
158,2020-04-11T00:00:00,Casos recuperados,Flores,1
159,2020-04-11T00:00:00,Casos recuperados,Florida,0
160,2020-04-11T00:00:00,Casos recuperados,Lavalleja,0
161,2020-04-11T00:00:00,Casos recuperados,Maldonado,5
162,2020-04-11T00:00:00,Casos recuperados,Montevideo,166
163,2020-04-11T00:00:00,Casos recuperados,Paysandú,0
164,2020-04-11T00:00:00,Casos recuperados,Río Negro,0
165,2020-04-11T00:00:00,Casos recuperados,Rivera,0
166,2020-04-11T00:00:00,Casos recuperados,Rocha,1
167,2020-04-11T00:00:00,Casos recuperados,Salto,4
168,2020-04-11T00:00:00,Casos recuperados,San José,0
169,2020-04-11T00:00:00,Casos recuperados,Soriano,1
170,2020-04-11T00:00:00,Casos recuperados,Tacuarembó,0
171,2020-04-11T00:00:00,Casos recuperados,Treinta y Tres,0
172,2020-04-11T00:00:00,Fallecidos,Artigas,0
173,2020-04-11T00:00:00,Fallecidos,Canelones,0
174,2020-04-11T00:00:00,Fallecidos,Cerro Largo,0
175,2020-04-11T00:00:00,Fallecidos,Colonia,0
176,2020-04-11T00:00:00,Fallecidos,Durazno,0
177,2020-04-11T00:00:00,Fallecidos,Flores,0
178,2020-04-11T00:00:00,Fallecidos,Florida,0
179,2020-04-11T00:00:00,Fallecidos,Lavalleja,0
180,2020-04-11T00:00:00,Fallecidos,Maldonado,1
181,2020-04-11T00:00:00,Fallecidos,Montevideo,6
182,2020-04-11T00:00:00,Fallecidos,Paysandú,0
183,2020-04-11T00:00:00,Fallecidos,Río Negro,0
184,2020-04-11T00:00:00,Fallecidos,Rivera,0
185,2020-04-11T00:00:00,Fallecidos,Rocha,0
186,2020-04-11T00:00:00,Fallecidos,Salto,0
187,2020-04-11T00:00:00,Fallecidos,San José,0
188,2020-04-11T00:00:00,Fallecidos,Soriano,0
189,2020-04-11T00:00:00,Fallecidos,Tacuarembó,0
190,2020-04-11T00:00:00,Fallecidos,Treinta y Tres,0
191,2020-04-11T00:00:00,Personal de la salud  Confirmados ,Todo el país,71
192,2020-04-11T00:00:00,Personal de la salud  Recuperados ,Todo el país,0
193,2020-04-11T00:00:00,Personal de la salud  Activos ,Todo el país,0
194,2020-04-11T00:00:00,Personal de la salud  Fallecidos ,Todo el país,0
195,2020-04-11T00:00:00,Cantidad de Tests  Positivos ,Todo el país,7
196,2020-04-11T00:00:00,Cantidad de Tests  Negativos ,Todo el país,611
197,2020-04-11T00:00:00,Personas en CTI,Todo el país,16
198,2020-04-11T00:00:00,Personas en CI,Todo el país,1
199,2020-04-11T00:00:00,Fallecidos ,Todo el país,7
200,2020-04-11T00:00:00,Casos nuevos ,Todo el país,7
201,2020-04-12T00:00:00,Casos activos,Artigas,0
202,2020-04-12T00:00:00,Casos activos,Canelones,32
203,2020-04-12T00:00:00,Casos activos,Cerro Largo,0
204,2020-04-12T00:00:00,Casos activos,Colonia,5
205,2020-04-12T00:00:00,Casos activos,Durazno,0
206,2020-04-12T00:00:00,Casos activos,Flores,0
207,2020-04-12T00:00:00,Casos activos,Florida,0
208,2020-04-12T00:00:00,Casos activos,Lavalleja,4
209,2020-04-12T00:00:00,Casos activos,Maldonado,14
210,2020-04-12T00:00:00,Casos activos,Montevideo,170
211,2020-04-12T00:00:00,Casos activos,Paysandú,1
212,2020-04-12T00:00:00,Casos activos,Río Negro,6
213,2020-04-12T00:00:00,Casos activos,Rivera,1
214,2020-04-12T00:00:00,Casos activos,Rocha,0
215,2020-04-12T00:00:00,Casos activos,Salto,7
216,2020-04-12T00:00:00,Casos activos,San José,2
217,2020-04-12T00:00:00,Casos activos,Soriano,0
218,2020-04-12T00:00:00,Casos activos,Tacuarembó,0
219,2020-04-12T00:00:00,Casos activos,Treinta y Tres,0
220,2020-04-12T00:00:00,Casos recuperados,Artigas,0
221,2020-04-12T00:00:00,Casos recuperados,Canelones,46
222,2020-04-12T00:00:00,Casos recuperados,Cerro Largo,0
223,2020-04-12T00:00:00,Casos recuperados,Colonia,3
224,2020-04-12T00:00:00,Casos recuperados,Durazno,0
225,2020-04-12T00:00:00,Casos recuperados,Flores,1
226,2020-04-12T00:00:00,Casos recuperados,Florida,0
227,2020-04-12T00:00:00,Casos recuperados,Lavalleja,0
228,2020-04-12T00:00:00,Casos recuperados,Maldonado,5
229,2020-04-12T00:00:00,Casos recuperados,Montevideo,169
230,2020-04-12T00:00:00,Casos recuperados,Paysandú,0
231,2020-04-12T00:00:00,Casos recuperados,Río Negro,0
232,2020-04-12T00:00:00,Casos recuperados,Rivera,0
233,2020-04-12T00:00:00,Casos recuperados,Rocha,1
234,2020-04-12T00:00:00,Casos recuperados,Salto,5
235,2020-04-12T00:00:00,Casos recuperados,San José,0
236,2020-04-12T00:00:00,Casos recuperados,Soriano,1
237,2020-04-12T00:00:00,Casos recuperados,Tacuarembó,0
238,2020-04-12T00:00:00,Casos recuperados,Treinta y Tres,0
239,2020-04-12T00:00:00,Fallecidos,Artigas,0
240,2020-04-12T00:00:00,Fallecidos,Canelones,0
241,2020-04-12T00:00:00,Fallecidos,Cerro Largo,0
242,2020-04-12T00:00:00,Fallecidos,Colonia,0
243,2020-04-12T00:00:00,Fallecidos,Durazno,0
244,2020-04-12T00:00:00,Fallecidos,Flores,0
245,2020-04-12T00:00:00,Fallecidos,Florida,0
246,2020-04-12T00:00:00,Fallecidos,Lavalleja,0
247,2020-04-12T00:00:00,Fallecidos,Maldonado,1
248,2020-04-12T00:00:00,Fallecidos,Montevideo,6
249,2020-04-12T00:00:00,Fallecidos,Paysandú,0
250,2020-04-12T00:00:00,Fallecidos,Río Negro,0
251,2020-04-12T00:00:00,Fallecidos,Rivera,0
252,2020-04-12T00:00:00,Fallecidos,Rocha,0
253,2020-04-12T00:00:00,Fallecidos,Salto,0
254,2020-04-12T00:00:00,Fallecidos,San José,0
255,2020-04-12T00:00:00,Fallecidos,Soriano,0
256,2020-04-12T00:00:00,Fallecidos,Tacuarembó,0
257,2020-04-12T00:00:00,Fallecidos,Treinta y Tres,0
258,2020-04-12T00:00:00,Personal de la salud  Confirmados ,Todo el país,77
259,2020-04-12T00:00:00,Personal de la salud  Recuperados ,Todo el país,0
260,2020-04-12T00:00:00,Personal de la salud  Activos ,Todo el país,0
261,2020-04-12T00:00:00,Personal de la salud  Fallecidos ,Todo el país,0
262,2020-04-12T00:00:00,Cantidad de Tests  Positivos ,Todo el país,11
263,2020-04-12T00:00:00,Cantidad de Tests  Negativos ,Todo el país,649
264,2020-04-12T00:00:00,Personas en CTI,Todo el país,16
265,2020-04-12T00:00:00,Personas en CI,Todo el país,0
266,2020-04-12T00:00:00,Fallecidos ,Todo el país,7
267,2020-04-12T00:00:00,Casos nuevos ,Todo el país,8
268,2020-04-13T00:00:00,Casos activos,Artigas,0
269,2020-04-13T00:00:00,Casos activos,Canelones,31
270,2020-04-13T00:00:00,Casos activos,Cerro Largo,0
271,2020-04-13T00:00:00,Casos activos,Colonia,5
272,2020-04-13T00:00:00,Casos activos,Durazno,0
273,2020-04-13T00:00:00,Casos activos,Flores,0
274,2020-04-13T00:00:00,Casos activos,Florida,0
275,2020-04-13T00:00:00,Casos activos,Lavalleja,4
276,2020-04-13T00:00:00,Casos activos,Maldonado,13
277,2020-04-13T00:00:00,Casos activos,Montevideo,156
278,2020-04-13T00:00:00,Casos activos,Paysandú,1
279,2020-04-13T00:00:00,Casos activos,Río Negro,6
280,2020-04-13T00:00:00,Casos activos,Rivera,1
281,2020-04-13T00:00:00,Casos activos,Rocha,0
282,2020-04-13T00:00:00,Casos activos,Salto,7
283,2020-04-13T00:00:00,Casos activos,San José,2
284,2020-04-13T00:00:00,Casos activos,Soriano,1
285,2020-04-13T00:00:00,Casos activos,Tacuarembó,0
286,2020-04-13T00:00:00,Casos activos,Treinta y Tres,0
287,2020-04-13T00:00:00,Casos recuperados,Artigas,0
288,2020-04-13T00:00:00,Casos recuperados,Canelones,47
289,2020-04-13T00:00:00,Casos recuperados,Cerro Largo,0
290,2020-04-13T00:00:00,Casos recuperados,Colonia,3
291,2020-04-13T00:00:00,Casos recuperados,Durazno,0
292,2020-04-13T00:00:00,Casos recuperados,Flores,1
293,2020-04-13T00:00:00,Casos recuperados,Florida,0
294,2020-04-13T00:00:00,Casos recuperados,Lavalleja,0
295,2020-04-13T00:00:00,Casos recuperados,Maldonado,5
296,2020-04-13T00:00:00,Casos recuperados,Montevideo,185
